participant;condition;layout;chats;part;topic;question;answer;wait_time;correct
3;B;2;3;4;Miekkailu;Olen miettinyt miekkailun aloittamista, mutta en tiedä mikä kolmesta miekkailulajista pitäisi valita. Mikä kolmesta miekkatyypistä (kalpa, floretti, säilä) saa olla painavin?;kalpa;52,73;TRUE
3;B;2;3;4;Miekkailu;Kuinka paljon se saa enintään painaa?;770g;9,38;TRUE
3;B;2;3;4;Miekkailu;Sitten vielä kiinnostaisi osuma-alueet. Mikä on säilämiekkailun osuma-alue?;koko vartalo vyötäröstä alaspäin;31,16;FALSE
3;B;2;3;4;Miekkailu;Entä kalpamiekkailun?;koko keho;40,84;TRUE
3;B;2;3;4;Nelikopteri;Kiinnostaisi tietää muutama juttu tästä nelikopterista. Kuinka painava kopteri on?;1380g;19,05;TRUE
3;B;2;3;4;Nelikopteri;Entä mikä on sen maksiminopeus?;20m/s;14,28;TRUE
3;B;2;3;4;Nelikopteri;Kuuluko kotiinpaluutoimintoon kotiin paluu, jos akku on vähissä?;kyllä;46,93;TRUE
3;B;2;3;4;Nelikopteri;Kuinka pitkä takuu kopterilla on?;1v;31,73;TRUE
3;B;2;3;4;Televisio;Yritän muodostaa internet-yhteyttä ostamaani televisioon, mutta se ei tunnu onnistuvan. Mikä on minimi verkkoyhteyden nopeus, jotta internet-yhteys voidaan muodostaa?;10Mbps;28,81;TRUE
3;B;2;3;4;Televisio;Kytkin USB-näppäimistön televisioon, millä painikkeella pääsen palaamaan valikossa edelliseen näyttöön?;esc;24,79;TRUE
3;B;2;3;4;Televisio;Entä mitä Windows-näppäin tekee?;näyttää asetukset;19,15;TRUE
3;B;2;3;4;Cheerleadingin kilpailusäännöt;Joukkueemme on osallistumassa cheerleadingin SM-kisoihin ja haluaisin selvittää muutaman asian kilpailusäännöistä. Kuinka suuri kilpailualue on SM-kisoissa?;14x16m;28,54;TRUE
3;B;2;3;4;Cheerleadingin kilpailusäännöt;Entä kuinka monta ulkoista spotteria joukkueella saa olla kilpailussa enintään?;max 6;25,81;TRUE
3;B;2;3;4;Cheerleadingin kilpailusäännöt;Saako ulkoinen spotteri tukea huojuvaa pyramidia?;ei;15,85;TRUE
3;C;1;4;3;Mankeli;Olen katsellut mankelia mutta tarvitsisin vähän lisätietoja, jotta tiedän ostanko sen. Mikä on mankelin syvyys?;314mm;14,67;TRUE
3;C;1;4;3;Mankeli;Entä mankeliliinan leveys?;55cm;13,81;TRUE
3;C;1;4;3;Mankeli;Mikä on lakanoiden mankeiloimisaika?;2-4min;65,89;TRUE
3;C;1;4;3;Jääkaappi;Tarvitsisin apua jääkaapin asennuksessa. Kuinka kauas sähköliedestä jääkaappi tulee vähintään sijoittaa?;vähintään 3cm päähän;35,65;TRUE
3;C;1;4;3;Jääkaappi;Olen kytkemässä jääkaappia toimintaan, laitoin juuri pistokkeen seinään ja nyt kuuluu joku hälytysääni. Mitä teen?;sulje laitteen ovi;143,49;FALSE
3;C;1;4;3;Jääkaappi;Jääkaapista kuuluu välillä naksahduksia. Kuuluvatko ne normaaleihin käyntiääniin?;kyllä;49,96;TRUE
3;C;1;4;3;Kuivauskaappi;Kuinka korkea kuivauskaappi on?;1900mm;43,86;TRUE
3;C;1;4;3;Kuivauskaappi;Kuinka kauan lingotun pyykin kuivaus pikakuivauksella kestää?;n.120min;66,82;TRUE
3;C;1;4;3;Kuivauskaappi;Mitä pesuainetta kuivauskaapin puhdistukseen voi käyttää?;mietoa saippualiuosta;31,70;TRUE
3;C;1;4;3;Painepesuri;Mikä on mallin P 130.2 nimellispaine?;12MPa;73,98;TRUE
3;C;1;4;3;Painepesuri;Entä nimellisvirrankulutus?;2.300kW;87,52;TRUE
3;C;1;4;3;Painepesuri;Kuinka pitkä takuu laitteessa on?;2v;54,23;TRUE
3;C;1;4;3;Uuni;Harkitsen tässä uunin ostoa, mutta haluaisin ensin tietää laitteen mitoista vähän. Mikä on leveimmän keittolevyn halkaisija?;180mm;125,83;TRUE
3;C;1;4;3;Uuni;Entä kuinka monta kannatintasoa uunissa on?;4;51,74;TRUE
3;C;1;4;3;Tenniksen kilpailumääräykset;Ajattelin ilmoittautua tenniskisoihin, mutta edellisistä on niin kauan aikaa, että haluaisin tarkistaa pari juttua. Olen tasolla 14, mihin tasoluokkaan minun kuuluu osallistua?;C;88,60;TRUE
3;C;1;4;3;Tenniksen kilpailumääräykset;Olen vähän huolissani omasta jaksamisestani, kuinka pitkä tauko kahden normaalipituisen saman luokan ottelussa on vähintään?;60min;48,04;TRUE
4;A;1;3;4;Lämpöpumppu;Lämpöpumppuni ohjausjärjestelmän vihreä merkkivalo alkoi vilkkumaan eilen, mitä se tarkoittaa?;jokin hälytys on aktiivisena;112,46;TRUE
4;A;1;3;4;Lämpöpumppu;Mikä asetus pitää olla päällä, jotta ohjausjärjestelmä sallii vain sähkövastuksen toiminnan?;LISÄLÄMPÖ;57,40;TRUE
4;A;1;3;4;Lämpöpumppu;Entä mikä on oletussäätö lämpötilalle, jos otan lämmityksen pois?;17 astetta;59,88;TRUE
4;A;1;3;4;Tenniksen kilpailumääräykset;Ajattelin ilmoittautua tenniskisoihin, mutta edellisistä on niin kauan aikaa, että haluaisin tarkistaa pari juttua. Olen tasolla 14, mihin tasoluokkaan minun kuuluu osallistua?;C;30,07;TRUE
4;A;1;3;4;Tenniksen kilpailumääräykset;Olen vähän huolissani omasta jaksamisestani, kuinka pitkä tauko kahden normaalipituisen saman luokan ottelussa on vähintään?;60min;158,06;TRUE
4;A;1;3;4;Tenniksen kilpailumääräykset;Kuinka montaa palloa tennisotteluissa voi korkeintaan käyttää?;6;54,89;TRUE
4;A;1;3;4;Pöytätenniksen säännöt;Meillä on tässä kaverin kanssa erimielisyyksiä pöytätenniksen säännöistä. Mikä on pöydän pituus?;274cm;36,98;TRUE
4;A;1;3;4;Pöytätenniksen säännöt;Kuinka korkealle pallon kuuluu nousta pelaajan kämmenestä syötössä?;vähintään 16cm;17,04;TRUE
4;A;1;3;4;Pöytätenniksen säännöt;Entä kuinka kuinka monta pistettä pelaajan pitää vähintään saada, jotta voi voittaa erän?;11;31,74;TRUE
4;A;1;3;4;Langattomat Bluetooth-kuulokkeet;Ostin juuri uudet Bluetooth-kuulokkeet ja tarvitsisin vastauksen muutamaan kysymykseen. Mitä kaikkea pakkauksen pitäisi sisältää?;Philipsin langattomat Bluetooth kuulokkeet SHB4405, USB-latauskaapeli, ja pikaopas;79,09;TRUE
4;A;1;3;4;Langattomat Bluetooth-kuulokkeet;OK, minulta näyttäisi puuttuvan ohjeet ja siksi tässä kyselen. Yritin muodostaa pariliitosta, mutta se kysyy jotain salasanaa. Mikä se mahtaa olla?;0;41,94;TRUE
4;A;1;3;4;Langattomat Bluetooth-kuulokkeet;Kuinka kauan kuulokkeiden lataaminen pitäisi yleensä kestää?;2 tuntia;24,39;TRUE
4;A;1;3;4;Astianpesukone;Ostin astianpesukoneen, ja minulla olisi muutama kysymys siihen liittyen. Mikä ohjelma on tarkoitettu erittäin likaisten astioiden pesuun (ohjelman numero)?;3;50,63;TRUE
4;A;1;3;4;Ompelukone;Mikä on tässä ompelukoneessa ompelen enimmäisleveys?;5mm;16,40;TRUE
4;B;2;3;2;Pyykinpesukone;Olen miettinyt pesukoneen ostoa, ja haluasin kysyä pari juttua ennen päätöstä. Mikä on koneen leveys?;600mm;18,37;TRUE
4;B;2;3;2;Pyykinpesukone;Entä maksimitäyttömäärä?;7kg;7,48;TRUE
4;B;2;3;2;Pyykinpesukone;Voiko koneen lisätoimintoihin kuuluvalla ajastuksella ajastaa koneen käynnistymään vuorokauden päästä?;ei voi, enintään 20 tunnin päästä;44,16;TRUE
4;B;2;3;2;Päältäajettava ruohonleikkuri;Haluaisin vertailla kahta ruohonleikkurimallia, LM2148 M ja LM2153 MD. Kummassa näistä on suurempi teho?;LM2153MD;20,42;TRUE
4;B;2;3;2;Päältäajettava ruohonleikkuri;Entä onko niiden polttoainesäiliöiden tilavuuksissa eroa?;ei ole;78,21;TRUE
4;B;2;3;2;Päältäajettava ruohonleikkuri;Mitkä niiden leikkuuleveydet ovat?;mallin LM2148 leveys 48mm, mallin LM2153 leveys 53mm;34,43;TRUE
4;B;2;3;2;Liesituuletin;Olen käyttänyt liesituuletinta jonkin aikaa ja mieleeni heräsi muutamia kysymyksiä siitä. Miten saan intensiivitehon päälle? Laitteessani on ohjauspaneeli 1.;Paina painiketta +, kun tuuletin on teholla 3.;66,42;TRUE
4;B;2;3;2;Liesituuletin;Kuinka usein rasvasuodatin pitäisi puhdistaa?;vähintään 2 kuukauden välein;106,01;TRUE
4;B;2;3;2;Liesituuletin;Entä mitä puhdistusainetta voi käyttää laitteen alumiini- ja muoviosien puhdistukseen?;pehmeätä liinaa;21,41;FALSE
4;B;2;3;2;Cheerleadingin kilpailusäännöt;Joukkueemme on osallistumassa cheerleadingin SM-kisoihin ja haluaisin selvittää muutaman asian kilpailusäännöistä. Kuinka suuri kilpailualue on SM-kisoissa?;cheer-sarjoissa ja tanssisarjoissa 14x16 metriä.;33,66;TRUE
4;B;2;3;2;Cheerleadingin kilpailusäännöt;Entä kuinka monta ulkoista spotteria joukkueella saa olla kilpailussa enintään?;maksimissaan 6;28,16;TRUE
4;B;2;3;2;Kuivauskaappi;Kuinka korkea kuivauskaappi on?;1900mm;38,55;TRUE
4;B;2;3;2;Kuivauskaappi;Kuinka kauan lingotun pyykin kuivaus pikakuivauksella kestää?;120 min;27,58;TRUE
4;C;1;4;3;Agility;Olen osallistumassa ensimmäistä kertaa agility-kilpailuun. Koirani säkäkorkeus on 40cm, mihin kilpailuluokkaan (koko) minun pitää osallistua?;Medi (M);116,96;TRUE
